0.10	-0.12	0.07	0.49	0.32	-0.01	0.20	1.00	0.05	-0.01	0.01	0.42	0.21	-0.05	0.17	0.30	
0.61	0.01	0.09	-0.01	0.47	-0.01	0.21	0.05	1.00	-0.01	-0.03	-0.02	0.49	0.06	0.21	-0.06	
-0.03	0.12	0.08	-0.05	-0.14	0.31	0.04	-0.01	-0.01	1.00	-0.04	-0.09	-0.09	0.25	0.01	0.06	
-0.00	-0.00	0.04	-0.02	0.04	0.01	0.11	0.01	-0.03	-0.04	1.00	0.23	0.02	-0.01	0.13	0.03	
-0.02	0.16	0.01	0.36	0.39	0.04	0.20	0.42	-0.02	-0.09	0.23	1.00	0.38	-0.04	0.21	0.32	
0.43	0.01	0.08	0.09	0.77	-0.01	0.32	0.21	0.49	-0.09	0.02	0.38	1.00	-0.02	0.26	0.27	
-0.01	0.41	-0.06	-0.14	-0.09	0.61	-0.06	-0.05	0.06	0.25	-0.01	-0.04	-0.02	1.00	-0.12	0.05	
0.22	-0.12	0.33	0.25	0.31	-0.14	0.54	0.17	0.21	0.01	0.13	0.21	0.26	-0.12	1.00	0.11	
0.03	0.14	0.06	0.20	0.18	0.17	0.06	0.30	-0.06	0.06	0.03	0.32	0.27	0.05	0.11	1.00	
1.00	0.05	0.66	0.63	0.96	0.04	0.71	0.58	0.92	0.04	0.39	0.51	0.93	-0.22	0.65	0.64	
0.05	1.00	0.02	-0.12	0.04	0.62	-0.02	-0.13	0.06	0.63	0.10	0.05	0.06	0.54	-0.03	-0.12	
0.66	0.02	1.00	0.55	0.65	-0.02	0.80	0.52	0.60	0.02	0.43	0.48	0.64	-0.23	0.66	0.58	
0.63	-0.12	0.55	1.00	0.63	-0.21	0.54	0.88	0.59	-0.19	0.37	0.67	0.67	-0.24	0.51	0.74	
0.96	0.04	0.65	0.63	1.00	-0.00	0.70	0.59	0.92	0.01	0.40	0.53	0.93	-0.22	0.65	0.64	
0.04	0.62	-0.02	-0.21	-0.00	1.00	0.02	-0.21	0.02	0.43	0.07	-0.01	0.07	0.59	0.01	-0.04	
0.71	-0.02	0.80	0.54	0.70	0.02	1.00	0.54	0.67	-0.04	0.42	0.48	0.70	-0.23	0.78	0.61	
0.58	-0.13	0.52	0.88	0.59	-0.21	0.54	1.00	0.55	-0.15	0.33	0.66	0.64	-0.20	0.48	0.64	
0.92	0.06	0.60	0.59	0.92	0.02	0.67	0.55	1.00	-0.04	0.37	0.54	0.92	-0.15	0.62	0.61	
0.04	0.63	0.02	-0.19	0.01	0.43	-0.04	-0.15	-0.04	1.00	-0.03	-0.21	0.02	0.24	-0.03	-0.08	
0.39	0.10	0.43	0.37	0.40	0.07	0.42	0.33	0.37	-0.03	1.00	0.64	0.41	-0.07	0.43	0.42	
0.51	0.05	0.48	0.67	0.53	-0.01	0.48	0.66	0.54	-0.21	0.64	1.00	0.57	-0.02	0.45	0.58	
0.93	0.06	0.64	0.67	0.93	0.07	0.70	0.64	0.92	0.02	0.41	0.57	1.00	-0.21	0.68	0.69	
-0.22	0.54	-0.23	-0.24	-0.22	0.59	-0.23	-0.20	-0.15	0.24	-0.07	-0.02	-0.21	1.00	-0.26	-0.34	
0.65	-0.03	0.66	0.51	0.65	0.01	0.78	0.48	0.62	-0.03	0.43	0.45	0.68	-0.26	1.00	0.65	
0.64	-0.12	0.58	0.74	0.64	-0.04	0.61	0.64	0.61	-0.08	0.42	0.58	0.69	-0.34	0.65	1.00	
